=======================================================
swish
Epoch 12, Loss 1.828, Train Accuracy 0.907, Validation Accuracy 0.897, Train F1-Macro 0.906, Validation F1-Macro 0.896, Train F1-Micro 0.907, Validation F1-Micro 0.896
Epoch 13, Loss 1.826, Train Accuracy 0.903, Validation Accuracy 0.900, Train F1-Macro 0.902, Validation F1-Macro 0.899, Train F1-Micro 0.903, Validation F1-Micro 0.899
Epoch 14, Loss 1.824, Train Accuracy 0.911, Validation Accuracy 0.901, Train F1-Macro 0.909, Validation F1-Macro 0.900, Train F1-Micro 0.911, Validation F1-Micro 0.900
Epoch 15, Loss 1.823, Train Accuracy 0.911, Validation Accuracy 0.903, Train F1-Macro 0.910, Validation F1-Macro 0.902, Train F1-Micro 0.911, Validation F1-Micro 0.902
Epoch 16, Loss 1.822, Train Accuracy 0.916, Validation Accuracy 0.906, Train F1-Macro 0.915, Validation F1-Macro 0.905, Train F1-Micro 0.916, Validation F1-Micro 0.905
Epoch 17, Loss 1.820, Train Accuracy 0.919, Validation Accuracy 0.907, Train F1-Macro 0.918, Validation F1-Macro 0.906, Train F1-Micro 0.919, Validation F1-Micro 0.906
Epoch 18, Loss 1.819, Train Accuracy 0.918, Validation Accuracy 0.909, Train F1-Macro 0.917, Validation F1-Macro 0.908, Train F1-Micro 0.918, Validation F1-Micro 0.908
Epoch 19, Loss 1.818, Train Accuracy 0.924, Validation Accuracy 0.910, Train F1-Macro 0.924, Validation F1-Macro 0.909, Train F1-Micro 0.924, Validation F1-Micro 0.909
Epoch 20, Loss 1.817, Train Accuracy 0.922, Validation Accuracy 0.912, Train F1-Macro 0.921, Validation F1-Macro 0.911, Train F1-Micro 0.922, Validation F1-Micro 0.911
Epoch 21, Loss 1.817, Train Accuracy 0.927, Validation Accuracy 0.913, Train F1-Macro 0.927, Validation F1-Macro 0.912, Train F1-Micro 0.927, Validation F1-Micro 0.912
Epoch 22, Loss 1.816, Train Accuracy 0.930, Validation Accuracy 0.913, Train F1-Macro 0.929, Validation F1-Macro 0.912, Train F1-Micro 0.930, Validation F1-Micro 0.912
Epoch 23, Loss 1.815, Train Accuracy 0.926, Validation Accuracy 0.913, Train F1-Macro 0.925, Validation F1-Macro 0.912, Train F1-Micro 0.926, Validation F1-Micro 0.912
Epoch 24, Loss 1.814, Train Accuracy 0.935, Validation Accuracy 0.915, Train F1-Macro 0.935, Validation F1-Macro 0.914, Train F1-Micro 0.935, Validation F1-Micro 0.914
Epoch 25, Loss 1.814, Train Accuracy 0.930, Validation Accuracy 0.916, Train F1-Macro 0.929, Validation F1-Macro 0.915, Train F1-Micro 0.930, Validation F1-Micro 0.915
Epoch 26, Loss 1.813, Train Accuracy 0.933, Validation Accuracy 0.916, Train F1-Macro 0.933, Validation F1-Macro 0.916, Train F1-Micro 0.933, Validation F1-Micro 0.916
Epoch 27, Loss 1.812, Train Accuracy 0.937, Validation Accuracy 0.918, Train F1-Macro 0.936, Validation F1-Macro 0.918, Train F1-Micro 0.937, Validation F1-Micro 0.918
