=======================================================
1 layer
Epoch 24, Loss 0.299, Train Accuracy 0.945, Validation Accuracy 0.911, Train F1-Macro 0.949, Validation F1-Macro 0.910, Train F1-Micro 0.945, Validation F1-Micro 0.910
Epoch 25, Loss 0.297, Train Accuracy 0.930, Validation Accuracy 0.897, Train F1-Macro 0.932, Validation F1-Macro 0.896, Train F1-Micro 0.930, Validation F1-Micro 0.896
Epoch 26, Loss 0.270, Train Accuracy 0.925, Validation Accuracy 0.909, Train F1-Macro 0.932, Validation F1-Macro 0.908, Train F1-Micro 0.925, Validation F1-Micro 0.908
Epoch 27, Loss 0.280, Train Accuracy 0.935, Validation Accuracy 0.910, Train F1-Macro 0.937, Validation F1-Macro 0.909, Train F1-Micro 0.935, Validation F1-Micro 0.909
Epoch 28, Loss 0.300, Train Accuracy 0.945, Validation Accuracy 0.910, Train F1-Macro 0.949, Validation F1-Macro 0.909, Train F1-Micro 0.945, Validation F1-Micro 0.909
Epoch 29, Loss 0.268, Train Accuracy 0.930, Validation Accuracy 0.893, Train F1-Macro 0.931, Validation F1-Macro 0.892, Train F1-Micro 0.930, Validation F1-Micro 0.892
Epoch 30, Loss 0.301, Train Accuracy 0.900, Validation Accuracy 0.874, Train F1-Macro 0.900, Validation F1-Macro 0.872, Train F1-Micro 0.900, Validation F1-Micro 0.872
Epoch 31, Loss 0.220, Train Accuracy 0.930, Validation Accuracy 0.923, Train F1-Macro 0.937, Validation F1-Macro 0.922, Train F1-Micro 0.930, Validation F1-Micro 0.922
Epoch 32, Loss 0.190, Train Accuracy 0.940, Validation Accuracy 0.920, Train F1-Macro 0.946, Validation F1-Macro 0.919, Train F1-Micro 0.940, Validation F1-Micro 0.919
Epoch 33, Loss 0.182, Train Accuracy 0.935, Validation Accuracy 0.921, Train F1-Macro 0.940, Validation F1-Macro 0.920, Train F1-Micro 0.935, Validation F1-Micro 0.920
Epoch 34, Loss 0.174, Train Accuracy 0.935, Validation Accuracy 0.922, Train F1-Macro 0.940, Validation F1-Macro 0.921, Train F1-Micro 0.935, Validation F1-Micro 0.921
Epoch 35, Loss 0.169, Train Accuracy 0.945, Validation Accuracy 0.923, Train F1-Macro 0.950, Validation F1-Macro 0.922, Train F1-Micro 0.945, Validation F1-Micro 0.922
Epoch 36, Loss 0.165, Train Accuracy 0.945, Validation Accuracy 0.922, Train F1-Macro 0.950, Validation F1-Macro 0.922, Train F1-Micro 0.945, Validation F1-Micro 0.922
Epoch 37, Loss 0.160, Train Accuracy 0.945, Validation Accuracy 0.923, Train F1-Macro 0.950, Validation F1-Macro 0.922, Train F1-Micro 0.945, Validation F1-Micro 0.922
Epoch 38, Loss 0.158, Train Accuracy 0.950, Validation Accuracy 0.923, Train F1-Macro 0.955, Validation F1-Macro 0.922, Train F1-Micro 0.950, Validation F1-Micro 0.922
Epoch 39, Loss 0.156, Train Accuracy 0.950, Validation Accuracy 0.922, Train F1-Macro 0.956, Validation F1-Macro 0.921, Train F1-Micro 0.950, Validation F1-Micro 0.921
Epoch 40, Loss 0.153, Train Accuracy 0.950, Validation Accuracy 0.922, Train F1-Macro 0.956, Validation F1-Macro 0.921, Train F1-Micro 0.950, Validation F1-Micro 0.921
Epoch 41, Loss 0.151, Train Accuracy 0.955, Validation Accuracy 0.924, Train F1-Macro 0.961, Validation F1-Macro 0.923, Train F1-Micro 0.955, Validation F1-Micro 0.923
Epoch 42, Loss 0.143, Train Accuracy 0.945, Validation Accuracy 0.925, Train F1-Macro 0.951, Validation F1-Macro 0.924, Train F1-Micro 0.945, Validation F1-Micro 0.924
Epoch 43, Loss 0.141, Train Accuracy 0.945, Validation Accuracy 0.925, Train F1-Macro 0.952, Validation F1-Macro 0.924, Train F1-Micro 0.945, Validation F1-Micro 0.924
Epoch 44, Loss 0.139, Train Accuracy 0.945, Validation Accuracy 0.925, Train F1-Macro 0.952, Validation F1-Macro 0.925, Train F1-Micro 0.945, Validation F1-Micro 0.925
Epoch 45, Loss 0.138, Train Accuracy 0.945, Validation Accuracy 0.925, Train F1-Macro 0.952, Validation F1-Macro 0.925, Train F1-Micro 0.945, Validation F1-Micro 0.925
Epoch 46, Loss 0.139, Train Accuracy 0.950, Validation Accuracy 0.924, Train F1-Macro 0.958, Validation F1-Macro 0.923, Train F1-Micro 0.950, Validation F1-Micro 0.923
Epoch 47, Loss 0.137, Train Accuracy 0.955, Validation Accuracy 0.924, Train F1-Macro 0.962, Validation F1-Macro 0.923, Train F1-Micro 0.955, Validation F1-Micro 0.923
Epoch 48, Loss 0.137, Train Accuracy 0.950, Validation Accuracy 0.925, Train F1-Macro 0.958, Validation F1-Macro 0.924, Train F1-Micro 0.950, Validation F1-Micro 0.924
Epoch 49, Loss 0.134, Train Accuracy 0.950, Validation Accuracy 0.925, Train F1-Macro 0.958, Validation F1-Macro 0.924, Train F1-Micro 0.950, Validation F1-Micro 0.924
Epoch 50, Loss 0.135, Train Accuracy 0.950, Validation Accuracy 0.924, Train F1-Macro 0.958, Validation F1-Macro 0.923, Train F1-Micro 0.950, Validation F1-Micro 0.923
Epoch 51, Loss 0.132, Train Accuracy 0.950, Validation Accuracy 0.924, Train F1-Macro 0.958, Validation F1-Macro 0.923, Train F1-Micro 0.950, Validation F1-Micro 0.923
Epoch 52, Loss 0.133, Train Accuracy 0.945, Validation Accuracy 0.924, Train F1-Macro 0.953, Validation F1-Macro 0.923, Train F1-Micro 0.945, Validation F1-Micro 0.923
Epoch 53, Loss 0.127, Train Accuracy 0.945, Validation Accuracy 0.926, Train F1-Macro 0.953, Validation F1-Macro 0.926, Train F1-Micro 0.945, Validation F1-Micro 0.926
Epoch 54, Loss 0.124, Train Accuracy 0.950, Validation Accuracy 0.926, Train F1-Macro 0.958, Validation F1-Macro 0.926, Train F1-Micro 0.950, Validation F1-Micro 0.926
Epoch 55, Loss 0.123, Train Accuracy 0.950, Validation Accuracy 0.926, Train F1-Macro 0.958, Validation F1-Macro 0.926, Train F1-Micro 0.950, Validation F1-Micro 0.926
Epoch 56, Loss 0.123, Train Accuracy 0.950, Validation Accuracy 0.927, Train F1-Macro 0.958, Validation F1-Macro 0.926, Train F1-Micro 0.950, Validation F1-Micro 0.926
Epoch 57, Loss 0.122, Train Accuracy 0.945, Validation Accuracy 0.926, Train F1-Macro 0.953, Validation F1-Macro 0.926, Train F1-Micro 0.945, Validation F1-Micro 0.926
Epoch 58, Loss 0.122, Train Accuracy 0.945, Validation Accuracy 0.926, Train F1-Macro 0.953, Validation F1-Macro 0.926, Train F1-Micro 0.945, Validation F1-Micro 0.926
Epoch 59, Loss 0.121, Train Accuracy 0.945, Validation Accuracy 0.926, Train F1-Macro 0.953, Validation F1-Macro 0.925, Train F1-Micro 0.945, Validation F1-Micro 0.925
Epoch 60, Loss 0.121, Train Accuracy 0.945, Validation Accuracy 0.927, Train F1-Macro 0.953, Validation F1-Macro 0.926, Train F1-Micro 0.945, Validation F1-Micro 0.926
Epoch 61, Loss 0.121, Train Accuracy 0.945, Validation Accuracy 0.927, Train F1-Macro 0.953, Validation F1-Macro 0.926, Train F1-Micro 0.945, Validation F1-Micro 0.926
Epoch 62, Loss 0.120, Train Accuracy 0.945, Validation Accuracy 0.927, Train F1-Macro 0.953, Validation F1-Macro 0.926, Train F1-Micro 0.945, Validation F1-Micro 0.926
Epoch 63, Loss 0.120, Train Accuracy 0.945, Validation Accuracy 0.927, Train F1-Macro 0.953, Validation F1-Macro 0.926, Train F1-Micro 0.945, Validation F1-Micro 0.926


=======================================================
3 layers
Epoch 0, Loss 4.035, Train Accuracy 0.560, Validation Accuracy 0.565, Train F1-Macro 0.521, Validation F1-Macro 0.559, Train F1-Micro 0.560, Validation F1-Micro 0.559
Epoch 1, Loss 1.066, Train Accuracy 0.740, Validation Accuracy 0.755, Train F1-Macro 0.742, Validation F1-Macro 0.754, Train F1-Micro 0.740, Validation F1-Micro 0.754
Epoch 2, Loss 0.678, Train Accuracy 0.835, Validation Accuracy 0.813, Train F1-Macro 0.838, Validation F1-Macro 0.811, Train F1-Micro 0.835, Validation F1-Micro 0.811
Epoch 3, Loss 0.539, Train Accuracy 0.880, Validation Accuracy 0.839, Train F1-Macro 0.884, Validation F1-Macro 0.837, Train F1-Micro 0.880, Validation F1-Micro 0.837
Epoch 4, Loss 0.467, Train Accuracy 0.875, Validation Accuracy 0.852, Train F1-Macro 0.878, Validation F1-Macro 0.850, Train F1-Micro 0.875, Validation F1-Micro 0.850
Epoch 5, Loss 0.418, Train Accuracy 0.895, Validation Accuracy 0.866, Train F1-Macro 0.898, Validation F1-Macro 0.865, Train F1-Micro 0.895, Validation F1-Micro 0.865
Epoch 6, Loss 0.375, Train Accuracy 0.905, Validation Accuracy 0.874, Train F1-Macro 0.909, Validation F1-Macro 0.873, Train F1-Micro 0.905, Validation F1-Micro 0.873
Epoch 7, Loss 0.343, Train Accuracy 0.905, Validation Accuracy 0.883, Train F1-Macro 0.911, Validation F1-Macro 0.883, Train F1-Micro 0.905, Validation F1-Micro 0.883
Epoch 8, Loss 0.316, Train Accuracy 0.915, Validation Accuracy 0.889, Train F1-Macro 0.920, Validation F1-Macro 0.889, Train F1-Micro 0.915, Validation F1-Micro 0.889
Epoch 9, Loss 0.296, Train Accuracy 0.910, Validation Accuracy 0.892, Train F1-Macro 0.915, Validation F1-Macro 0.892, Train F1-Micro 0.910, Validation F1-Micro 0.892
Epoch 10, Loss 0.278, Train Accuracy 0.920, Validation Accuracy 0.894, Train F1-Macro 0.924, Validation F1-Macro 0.894, Train F1-Micro 0.920, Validation F1-Micro 0.894
Epoch 11, Loss 0.263, Train Accuracy 0.930, Validation Accuracy 0.897, Train F1-Macro 0.932, Validation F1-Macro 0.897, Train F1-Micro 0.930, Validation F1-Micro 0.897
Epoch 12, Loss 0.250, Train Accuracy 0.930, Validation Accuracy 0.900, Train F1-Macro 0.934, Validation F1-Macro 0.900, Train F1-Micro 0.930, Validation F1-Micro 0.900
Epoch 13, Loss 0.234, Train Accuracy 0.925, Validation Accuracy 0.901, Train F1-Macro 0.930, Validation F1-Macro 0.901, Train F1-Micro 0.925, Validation F1-Micro 0.901
Epoch 14, Loss 0.226, Train Accuracy 0.930, Validation Accuracy 0.905, Train F1-Macro 0.934, Validation F1-Macro 0.905, Train F1-Micro 0.930, Validation F1-Micro 0.905
Epoch 15, Loss 0.221, Train Accuracy 0.925, Validation Accuracy 0.910, Train F1-Macro 0.929, Validation F1-Macro 0.910, Train F1-Micro 0.925, Validation F1-Micro 0.910
Epoch 16, Loss 0.210, Train Accuracy 0.920, Validation Accuracy 0.908, Train F1-Macro 0.923, Validation F1-Macro 0.908, Train F1-Micro 0.920, Validation F1-Micro 0.908
Epoch 17, Loss 0.196, Train Accuracy 0.925, Validation Accuracy 0.906, Train F1-Macro 0.928, Validation F1-Macro 0.906, Train F1-Micro 0.925, Validation F1-Micro 0.906
Epoch 18, Loss 0.190, Train Accuracy 0.930, Validation Accuracy 0.912, Train F1-Macro 0.934, Validation F1-Macro 0.912, Train F1-Micro 0.930, Validation F1-Micro 0.912
Epoch 19, Loss 0.188, Train Accuracy 0.925, Validation Accuracy 0.916, Train F1-Macro 0.928, Validation F1-Macro 0.916, Train F1-Micro 0.925, Validation F1-Micro 0.916
