=======================================================
784-50-10
Epoch 10, Loss 0.275, Train Accuracy 0.927, Validation Accuracy 0.917, Train F1-Macro 0.926, Validation F1-Macro 0.916, Train F1-Micro 0.927, Validation F1-Micro 0.916
Epoch 11, Loss 0.269, Train Accuracy 0.919, Validation Accuracy 0.920, Train F1-Macro 0.919, Validation F1-Macro 0.919, Train F1-Micro 0.919, Validation F1-Micro 0.919
Epoch 12, Loss 0.260, Train Accuracy 0.929, Validation Accuracy 0.921, Train F1-Macro 0.929, Validation F1-Macro 0.920, Train F1-Micro 0.929, Validation F1-Micro 0.920
Epoch 13, Loss 0.253, Train Accuracy 0.932, Validation Accuracy 0.923, Train F1-Macro 0.932, Validation F1-Macro 0.922, Train F1-Micro 0.932, Validation F1-Micro 0.922
Epoch 14, Loss 0.248, Train Accuracy 0.931, Validation Accuracy 0.925, Train F1-Macro 0.930, Validation F1-Macro 0.924, Train F1-Micro 0.931, Validation F1-Micro 0.924
Epoch 15, Loss 0.241, Train Accuracy 0.936, Validation Accuracy 0.926, Train F1-Macro 0.936, Validation F1-Macro 0.925, Train F1-Micro 0.936, Validation F1-Micro 0.925
Epoch 16, Loss 0.237, Train Accuracy 0.931, Validation Accuracy 0.927, Train F1-Macro 0.931, Validation F1-Macro 0.926, Train F1-Micro 0.931, Validation F1-Micro 0.926
Epoch 17, Loss 0.230, Train Accuracy 0.941, Validation Accuracy 0.928, Train F1-Macro 0.940, Validation F1-Macro 0.927, Train F1-Micro 0.941, Validation F1-Micro 0.927
Epoch 18, Loss 0.225, Train Accuracy 0.942, Validation Accuracy 0.929, Train F1-Macro 0.941, Validation F1-Macro 0.928, Train F1-Micro 0.942, Validation F1-Micro 0.928
Epoch 19, Loss 0.221, Train Accuracy 0.939, Validation Accuracy 0.930, Train F1-Macro 0.938, Validation F1-Macro 0.928, Train F1-Micro 0.939, Validation F1-Micro 0.928
Epoch 20, Loss 0.215, Train Accuracy 0.942, Validation Accuracy 0.931, Train F1-Macro 0.941, Validation F1-Macro 0.930, Train F1-Micro 0.942, Validation F1-Micro 0.930
Epoch 21, Loss 0.212, Train Accuracy 0.940, Validation Accuracy 0.931, Train F1-Macro 0.939, Validation F1-Macro 0.930, Train F1-Micro 0.940, Validation F1-Micro 0.930
Epoch 22, Loss 0.205, Train Accuracy 0.946, Validation Accuracy 0.933, Train F1-Macro 0.945, Validation F1-Macro 0.932, Train F1-Micro 0.946, Validation F1-Micro 0.932
Epoch 23, Loss 0.200, Train Accuracy 0.949, Validation Accuracy 0.934, Train F1-Macro 0.948, Validation F1-Macro 0.933, Train F1-Micro 0.949, Validation F1-Micro 0.933
Epoch 24, Loss 0.197, Train Accuracy 0.948, Validation Accuracy 0.935, Train F1-Macro 0.948, Validation F1-Macro 0.934, Train F1-Micro 0.948, Validation F1-Micro 0.934
Epoch 25, Loss 0.191, Train Accuracy 0.950, Validation Accuracy 0.936, Train F1-Macro 0.949, Validation F1-Macro 0.935, Train F1-Micro 0.950, Validation F1-Micro 0.935
Epoch 26, Loss 0.188, Train Accuracy 0.946, Validation Accuracy 0.937, Train F1-Macro 0.945, Validation F1-Macro 0.936, Train F1-Micro 0.946, Validation F1-Micro 0.936
Epoch 27, Loss 0.182, Train Accuracy 0.952, Validation Accuracy 0.937, Train F1-Macro 0.951, Validation F1-Macro 0.936, Train F1-Micro 0.951, Validation F1-Micro 0.936
Epoch 28, Loss 0.178, Train Accuracy 0.954, Validation Accuracy 0.938, Train F1-Macro 0.953, Validation F1-Macro 0.937, Train F1-Micro 0.954, Validation F1-Micro 0.937
Epoch 29, Loss 0.175, Train Accuracy 0.952, Validation Accuracy 0.939, Train F1-Macro 0.951, Validation F1-Macro 0.939, Train F1-Micro 0.952, Validation F1-Micro 0.939
Epoch 30, Loss 0.170, Train Accuracy 0.956, Validation Accuracy 0.940, Train F1-Macro 0.955, Validation F1-Macro 0.939, Train F1-Micro 0.956, Validation F1-Micro 0.939
Epoch 31, Loss 0.167, Train Accuracy 0.955, Validation Accuracy 0.941, Train F1-Macro 0.955, Validation F1-Macro 0.940, Train F1-Micro 0.955, Validation F1-Micro 0.940
Epoch 32, Loss 0.162, Train Accuracy 0.958, Validation Accuracy 0.941, Train F1-Macro 0.957, Validation F1-Macro 0.941, Train F1-Micro 0.958, Validation F1-Micro 0.941
Epoch 33, Loss 0.158, Train Accuracy 0.962, Validation Accuracy 0.942, Train F1-Macro 0.962, Validation F1-Macro 0.941, Train F1-Micro 0.962, Validation F1-Micro 0.941
Epoch 34, Loss 0.155, Train Accuracy 0.959, Validation Accuracy 0.943, Train F1-Macro 0.958, Validation F1-Macro 0.942, Train F1-Micro 0.959, Validation F1-Micro 0.942
Epoch 35, Loss 0.151, Train Accuracy 0.961, Validation Accuracy 0.943, Train F1-Macro 0.960, Validation F1-Macro 0.943, Train F1-Micro 0.961, Validation F1-Micro 0.943
Epoch 36, Loss 0.148, Train Accuracy 0.961, Validation Accuracy 0.944, Train F1-Macro 0.960, Validation F1-Macro 0.943, Train F1-Micro 0.961, Validation F1-Micro 0.943
Epoch 37, Loss 0.144, Train Accuracy 0.963, Validation Accuracy 0.945, Train F1-Macro 0.963, Validation F1-Macro 0.944, Train F1-Micro 0.963, Validation F1-Micro 0.944
Epoch 38, Loss 0.140, Train Accuracy 0.966, Validation Accuracy 0.946, Train F1-Macro 0.965, Validation F1-Macro 0.945, Train F1-Micro 0.966, Validation F1-Micro 0.945
Epoch 39, Loss 0.138, Train Accuracy 0.965, Validation Accuracy 0.946, Train F1-Macro 0.964, Validation F1-Macro 0.946, Train F1-Micro 0.965, Validation F1-Micro 0.946
Epoch 40, Loss 0.134, Train Accuracy 0.963, Validation Accuracy 0.948, Train F1-Macro 0.962, Validation F1-Macro 0.947, Train F1-Micro 0.963, Validation F1-Micro 0.947
Epoch 41, Loss 0.132, Train Accuracy 0.966, Validation Accuracy 0.948, Train F1-Macro 0.966, Validation F1-Macro 0.947, Train F1-Micro 0.966, Validation F1-Micro 0.947
Epoch 42, Loss 0.129, Train Accuracy 0.967, Validation Accuracy 0.948, Train F1-Macro 0.966, Validation F1-Macro 0.948, Train F1-Micro 0.967, Validation F1-Micro 0.948
Epoch 43, Loss 0.125, Train Accuracy 0.973, Validation Accuracy 0.949, Train F1-Macro 0.973, Validation F1-Macro 0.948, Train F1-Micro 0.973, Validation F1-Micro 0.948
Epoch 44, Loss 0.123, Train Accuracy 0.972, Validation Accuracy 0.950, Train F1-Macro 0.971, Validation F1-Macro 0.949, Train F1-Micro 0.972, Validation F1-Micro 0.949
Epoch 45, Loss 0.120, Train Accuracy 0.971, Validation Accuracy 0.950, Train F1-Macro 0.970, Validation F1-Macro 0.949, Train F1-Micro 0.971, Validation F1-Micro 0.949
Epoch 46, Loss 0.118, Train Accuracy 0.973, Validation Accuracy 0.950, Train F1-Macro 0.973, Validation F1-Macro 0.949, Train F1-Micro 0.973, Validation F1-Micro 0.949
Epoch 47, Loss 0.115, Train Accuracy 0.972, Validation Accuracy 0.951, Train F1-Macro 0.971, Validation F1-Macro 0.950, Train F1-Micro 0.972, Validation F1-Micro 0.950
